,headlines,label
0,Kumele ufifiyele ukuze ubone izinguquko ezingaphandle kwiVW Polo Vivo,ezezimoto
1,USam Sam ufuna ukushawa kwezidudla kusabalale umhlaba wonke,ezezimoto
2,Bayifuna kuleli i-Formula One,ezezimoto
3,IMahindra igubha ewu-20 ngeSUV entsha i-3XO,ezezimoto
4,Okumele ukuqaphele uma uthenga imoto esidlangaleni,ezezimoto
5,Bafuna ukushubisa umbango ngeFord Tourneo elungele umndeni nebhizinisi,ezezimoto
6,Bekushunqa uthuli kwiZwartkops Top of the Hill Challenge,ezezimoto
7,Kwengezwe injini eyongayo kadizili kwi-Audi Q3,ezezimoto
8,Kwehle izinga lokuthengwa kwezimoto ezintsha,ezezimoto
9,ULucas Radebe useyinxusa lakwaVW,ezezimoto
10,Nentatheli yeSolezwe izoba inukisa ithayi eZwartkops,ezezimoto
11,Ngeke umthinte ngesipanela oweMumbo Repairs,ezezimoto
12,Ziqalile ukudayisa kuleli ezakwaJetour yaseChina,ezezimoto
13,IHyundai idoba abathengi ngeSUV entsha i-Exter,ezezimoto
14,Balamanise ngeSUV entsha i-Emkoo kwaGAC Motor,ezezimoto
15,Amathiphu angakusiza uma uthenga imoto eyisekeni,ezezimoto
16,Ziyinyama ezingamasekeni kunezimoto ezintsha,ezezimoto
17,Ungakugwema ukudunwa imoto,ezezimoto
18,Ayifakwe endalini iVW ID.4 kagesi,ezezimoto
19,IToyota Corolla sedan ayisenantanga yize i-SUV isezithendeni,ezezimoto
20,IWesBank ibona yehla inzalo yemalimboleko,ezezimoto
21,Kwethulwe izimoto ezintsha kwi-festival yezimoto,ezezimoto
22,I-Opel empini yokubuyisa idumela layo lakuqala,ezezimoto
23,Kuthuthukiswe intandokazi iVW Polo Vivo,ezezimoto
24,I-BMW M2 ayifuni uyibhayizele,ezezimoto
25,I-Gac Motor yethule imoto yayo yokuqala i-GS3 Emzoom,ezezimoto
26,Izodala amathuba omsebenzi ifemu kaR1.2bn yamaphathi ezimoto,ezezimoto
27,Ugqugquzela abesifazane ukuthi bangene kweyezimoto,ezezimoto
28,Inothe ngokuningi iGWM Tank 500 ye ‘million’ efike neveni iP500,ezezimoto
29,Amakhono abashayeli besifazane okumele bazihlomise ngawo,ezezimoto
30,Wonga uphethroli uhambe ngogesi kwiLexus NX450h+,ezezimoto
31,Abayonanga ngezinguquko iKia Sonet,ezezimoto
32,"Kukhalwa ngamazinga ezokuphepha kwezakwaRenault, Kia neSuzuki",ezezimoto
33,UJoy ucwaninga ngezimoto ezifanele elakuleli kwaToyota,ezezimoto
34,‘Ubukhosi’ be-cruise control budinga ulwazi,ezezimoto
35,Kuthuthukiswe iVW Touareg,ezezimoto
36,Unxenxa abesifazane ukuthi bangene kuma-4x4,ezezimoto
37,Umncanyana iKia Picanto uyathandeka kodwa intengo…,ezezimoto
38,I-Isuzu igubha iminyaka engu-45 ngeD-Max yekhethelo,ezezimoto
39,Izindlela zokuvikela amathayi emaseleni,ezezimoto
